No,Article ID,Article URL (API/Permlink),Article Title,Publisher,Publication Date
1,Document001,https://plus.lexis.com/api/permalink/9650653d-f489-4cfc-ae09-8a6e601f2d41/?context=1001073,Chinese services hit by worst month ever,The Times,05/03/2020
2,Document002,https://plus.lexis.com/api/permalink/a051bce2-52cc-40b7-8d9d-126e02815de4/?context=1001073,America to suffer its worst downturn since world war,The Times,04/04/2020
3,Document003,https://plus.lexis.com/api/permalink/f8dd7018-0e22-4ffa-a768-1ec969752cdb/?context=1001073,Investors take £35bn hit as Shell stuns market with payout cut,The Times,01/05/2020
4,Document004,https://plus.lexis.com/api/permalink/7d027083-250f-4a95-a605-9d4bbd24bf7f/?context=1001073,Workers back tax rise to pay for virus,The Times,04/06/2020
5,Document005,https://plus.lexis.com/api/permalink/b01b3e51-6ccb-404b-881d-6236b3961367/?context=1001073,Heathrow wants tests instead of quarantine,The Times,14/07/2020
6,Document006,https://plus.lexis.com/api/permalink/0c4a82d9-865f-4037-81d1-b0149d17ceed/?context=1001073,Pound surges 6% on dollar in month,The Times,01/08/2020
7,Document007,https://plus.lexis.com/api/permalink/0cca806c-959c-46e3-b89f-5e0d5052a856/?context=1001073,China's recovery gives Asian markets a lift,The Times,01/09/2020
8,Document008,,Recovery loses momentum amid resurgence in coronavirus,The Times,06/10/2020
9,Document009,,Virus can be economic 'agent of change',The Times,18/11/2020
10,Document010,,Footsie on the march after big US banks issue call to buy British,The Times,02/12/2020
11,Document011,,Vaccination progress helps push pound back over $1.37,The Times,22/01/2021
12,Document012,,Millions more in financial hardship since pandemic,The Times,12/02/2021
13,Document013,,Fall in new unemployment claims boosts US,The Times,26/03/2021
14,Document014,,Oil price jumps on report predicting higher demand,The Times,15/04/2021
15,Document015,,Recovery 'to take longer for regions',The Times,11/05/2021
16,Document016,,Hospitality slowest sector to regain pre-pandemic size,The Times,10/06/2021
17,Document017,,Shipping broker issues profit warning,The Times,04/03/2020
18,Document018,,Italian season plans restart on June 13,The Times,14/05/2020
19,Document019,,Holiday hunters trigger 50 per cent surge in foreign bookings,The Times,25/06/2020
20,Document020,,Quarantine leaves travel firms reeling,The Times,28/07/2020
21,Document021,,Heathrow awaits go-ahead to start testing all arrivals,The Times,19/08/2020
22,Document022,,Rules are not clear - Lennon; 'We wan't answers to some,The Times,17/10/2020
23,Document023,,Covid floors same-sex Strictly pair,The Times,13/11/2020
24,Document024,,"Scrap curbs on passengers, urges aviation watchdog",The Times,03/12/2020
25,Document025,,Covid chaos in build-up to Australian Open,The Times,04/02/2021
26,Document026,,"Flights bring 15,000 people a day to UK without screening",The Times,17/04/2020
27,Document027,,Shamed pair set for talks over Iceland indiscretions,The Times,10/09/2020
28,Document028,,Travel and leisure shares hit by worries over quarantine,The Times,26/01/2021
29,Document029,,Quarantine row over frail widower,The Times,12/03/2021
30,Document030,,Don't relax travel rules',The Times,19/04/2021
31,Document031,,Tui hits out at 'cautious' UK as losses take their toll,The Times,13/05/2021
32,Document032,,Greece offers young people cash for jabs,The Times,29/06/2021
33,Document033,,"Don't bank on a vaccine, says No 10 science chief",The Times,20/04/2020
34,Document034,,"Breakthrough on antibodies is not far off, say researchers",The Times,08/06/2020
35,Document035,,Glaxo signs coronavirus vaccine deal,The Times,08/07/2020
36,Document036,,Oxford vaccine may be a shot in the arm for Huawei,The Times,04/08/2020
37,Document037,,Oxford pause in US 'damaging',The Times,24/09/2020
38,Document038,,Facemasks may be needed for a further ten months,The Times,14/10/2020
39,Document039,,Dolly Parton trumps the White House in vaccine race,The Times,18/11/2020
40,Document040,,Couple have jabs at hospital where they worked for decades together,The Times,10/12/2020
41,Document041,,EU approval for Moderna amid outcry at slow rollout,The Times,07/01/2021
42,Document042,,Antibodies found to last at least six months for most,The Times,03/02/2021
43,Document043,,"New strains likely in the coming years, warns expert",The Times,06/03/2020
44,Document044,,Oxford vaccine gets $1.2bn shot in the arm from US,The Times,22/05/2020
45,Document045,,Analysis As the world waits [...],The Times,02/06/2020
46,Document046,,Markets get shot in the arm from vaccine trial,The Times,17/11/2020
47,Document047,,New virus is more dangerous than flu,The Times,03/03/2020
48,Document048,,Tenth of Londoners may have had Covid-19 already,The Times,12/05/2020
