Document ID,Sentence ID,Event ID,Event,Apperance in the sentence
Document001,S1,1,endured,0
Document001,S1,2,hit,0
Document001,S2,3,fell,0
Document001,S2,4,crisis,0
Document001,S4,5,halved,0
Document001,S5,6,fallen,0
Document001,S5,7,indicating,0
Document001,S5,8,launched,0
Document001,S6,9,prompted,0
Document001,S7,10,revealed,0
Document001,S7,11,fall,0
Document001,S8,12,said,0
Document001,S8,13,introduced,0
Document001,S9,14,triggered,0
Document001,S9,15,swept,0
Document001,S9,16,said,0
Document001,S10,17,collapsed,0
Document001,S11,18,believed,0
Document001,S11,19,suffered,0
Document001,S11,20,drop on,0
Document001,S12,21,became,0
Document001,S12,22,reveal,0
Document001,S12,23,reporting,0
Document001,S12,24,decline,0
Document001,S13,25,sold,0
Document002,S1,26,shrink,0
Document002,S1,27,War,0
Document002,S1,28,warned,0
Document002,S2,29,fall,0
Document002,S2,30,said,0
Document002,S2,31,downgraded,0
Document002,S3,32,said,0
Document002,S4,33,loss,0
Document002,S6,34,filed,0
Document002,S6,35,claims,0
Document002,S6,36,closed,0
Document002,S6,37,told,0
Document002,S6,38,showed,0
Document002,S7,39,said,0
Document002,S7,40,suggested,0
Document002,S7,41,peaked,0
Document002,S8,42,disruptions,0
Document002,S8,43,increasing,0
Document002,S8,44,said,0
