No,Article ID,Article URL (API/Permlink),Article Title,Publisher,Publication Date
1,Document001,[Link Text](https://plus.lexis.com/api/permalink/9650653d-f489-4cfc-ae09-8a6e601f2d41/?context=1001073),Chinese services hit by worst month ever,The Times,05/03/2020
2,Document002,https://plus.lexis.com/api/permalink/a051bce2-52cc-40b7-8d9d-126e02815de4/?context=1001073,America to suffer its worst downturn since world war,The Times,04/04/2020
3,Document003,https://plus.lexis.com/api/permalink/f8dd7018-0e22-4ffa-a768-1ec969752cdb/?context=1001073,Investors take £35bn hit as Shell stuns market with payout cut,The Times,01/05/2020
4,Document004,https://plus.lexis.com/api/permalink/7d027083-250f-4a95-a605-9d4bbd24bf7f/?context=1001073,Workers back tax rise to pay for virus,The Times,04/06/2020
5,Document005,https://plus.lexis.com/api/permalink/b01b3e51-6ccb-404b-881d-6236b3961367/?context=1001073,Heathrow wants tests instead of quarantine,The Times,14/07/2020
6,Document006,https://plus.lexis.com/api/permalink/0c4a82d9-865f-4037-81d1-b0149d17ceed/?context=1001073,Pound surges 6% on dollar in month,The Times,01/08/2020
7,Document007,https://plus.lexis.com/api/permalink/0cca806c-959c-46e3-b89f-5e0d5052a856/?context=1001073,China's recovery gives Asian markets a lift,The Times,01/09/2020
8,Document008,https://plus.lexis.com/api/permalink/6a743f2a-6344-48db-9584-fdee08ea509a/?context=1001073,Recovery loses momentum amid resurgence in coronavirus,The Times,06/10/2020
9,Document009,https://plus.lexis.com/api/permalink/ebbbcfc7-5ad6-43b9-851e-c9367971af57/?context=1001073,Virus can be economic 'agent of change',The Times,18/11/2020
10,Document010,https://plus.lexis.com/api/permalink/0e4be470-505b-405c-8383-8f9d9d077e3d/?context=1001073,Footsie on the march after big US banks issue call to buy British,The Times,02/12/2020
11,Document011,https://plus.lexis.com/api/permalink/ba4179de-6006-46b5-9a18-1e4922c83c81/?context=1001073,Vaccination progress helps push pound back over $1.37,The Times,22/01/2021
12,Document012,https://plus.lexis.com/api/permalink/2b14452a-d381-4670-a25c-a01a3c8a3693/?context=1001073,Millions more in financial hardship since pandemic,The Times,12/02/2021
13,Document013,https://plus.lexis.com/api/permalink/4c0bbec3-eea7-45d0-8617-097eaebeb8b2/?context=1001073,Fall in new unemployment claims boosts US,The Times,26/03/2021
14,Document014,https://plus.lexis.com/api/permalink/0c3fae52-9979-4ae0-9603-f6d6b9aa8705/?context=1001073,Oil price jumps on report predicting higher demand,The Times,15/04/2021
15,Document015,https://plus.lexis.com/api/permalink/700334e8-a373-430c-b151-aa208296c01f/?context=1001073,Recovery 'to take longer for regions',The Times,11/05/2021
16,Document016,https://plus.lexis.com/api/permalink/e1826459-c7d1-46d2-a107-c777cfec4856/?context=1001073,Hospitality slowest sector to regain pre-pandemic size,The Times,10/06/2021
17,Document017,https://plus.lexis.com/api/permalink/e420b981-c0c2-47b3-bce4-2699cfe2b477/?context=1001073,Shipping broker issues profit warning,The Times,04/03/2020
18,Document018,https://plus.lexis.com/api/permalink/ecf5a67c-bcbb-4522-a560-c4cff0a43436/?context=1001073,Italian season plans restart on June 13,The Times,14/05/2020
19,Document019,https://plus.lexis.com/api/permalink/5f14c373-4418-4137-9ec4-cc28d19144fa/?context=1001073,Holiday hunters trigger 50 per cent surge in foreign bookings,The Times,25/06/2020
20,Document020,https://plus.lexis.com/api/permalink/c4aeb6fd-7b41-4bfb-b6a3-f4d002b19183/?context=1001073,Quarantine leaves travel firms reeling,The Times,28/07/2020
21,Document021,https://plus.lexis.com/api/permalink/88bdf353-0668-4d9b-86ca-bd9dd1410332/?context=1001073,Heathrow awaits go-ahead to start testing all arrivals,The Times,19/08/2020
22,Document022,https://plus.lexis.com/api/permalink/f6bbc70c-007b-4831-a1f4-207bc8502f5d/?context=1001073,Rules are not clear - Lennon; 'We wan't answers to some,The Times,17/10/2020
23,Document023,https://plus.lexis.com/api/permalink/bda82778-1b33-479e-865a-ed8326626f8e/?context=1001073,Covid floors same-sex Strictly pair,The Times,13/11/2020
24,Document024,https://plus.lexis.com/api/permalink/4d05c38f-54ca-427c-9806-ae2c6aacedf2/?context=1001073,"Scrap curbs on passengers, urges aviation watchdog",The Times,03/12/2020
25,Document025,https://plus.lexis.com/api/permalink/7655464c-dee0-4093-bedf-38e643ad0f72/?context=1001073,Covid chaos in build-up to Australian Open,The Times,04/02/2021
26,Document026,https://plus.lexis.com/api/permalink/0c76fcf4-91a6-41b2-b6e5-b595021407f7/?context=1001073,"Flights bring 15,000 people a day to UK without screening",The Times,17/04/2020
27,Document027,https://plus.lexis.com/api/permalink/d56c2d0f-e70a-48bc-9eab-8840de18b63d/?context=1001073,Shamed pair set for talks over Iceland indiscretions,The Times,10/09/2020
